#WinSize=150	WinCount=151547	DepthCount=149434
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
2.5	2	2	0	0	0	0	0	0	0	0	0	0.00540931
3.5	5	5	0	0	0	0	0	0	0	0	0	0.0135233
4.5	25	25	0	0	0	0	0	0	0	0	0	0.0676164
5.5	18	18	0	0	0	0	0	0	0	0	0	0.0486838
6.5	63	63	0	0	0	0	0	0	0	0	0	0.170393
7.5	59	59	0	0	0	0	0	0	0	0	0	0.159575
8.5	157	157	0	0	0	0	0	0	0	0	0	0.424631
9.5	133	133	0	0	0	0	0	0	0	0	0	0.359719
10.5	338	338	0	0	0	0	0	0	0	0	0	0.914173
11.5	224	222	0.0824024	0.0824024	3.09333	0	0	0	0	0	15.2	0.600433
12.5	618	616	0.0201515	0.0201515	12.4133	0	0	0	0	0	12.4133	1.66607
13.5	421	421	0.407743	0.407743	0.353333	0	0	0	0	0	170.613	1.13866
14.5	1062	1062	0.0215443	0.0215443	0.0466667	0	0	0	0	0	16.4133	2.87234
15.5	641	641	0.044181	0.044181	0.88	0	0	0	0	0	27.44	1.73368
16.5	1628	1627	0.0521246	0.0521246	0.02	0	0	0	0	0	51.68	4.40047
17.5	912	912	0.0828801	0.0828801	0.8	0	0	0	0	0	34.76	2.46664
18.5	2083	2082	0.193951	0.193951	0.133333	0	0	0	0	0	259.08	5.63109
19.5	1197	1196	0.000769231	0.000769231	0.92	0	0	0	0	0	0.92	3.23477
20.5	2672	2669	0.322558	0.322558	0.14	0	0	0	0	0	275.487	7.21872
21.5	1524	1522	0.0721463	0.0721463	1.06667	0	0	0	0	0	41.7267	4.11648
22.5	3316	3316	0.204001	0.204001	0.1	0	0	0	0	0	98.3267	8.96863
23.5	1830	1830	0.858703	0.858703	0.226667	0	0	0	0	0	537.313	4.94952
24.5	4030	4030	1.13767	1.13767	0.0266667	0	0	0	0	0	722.2	10.8998
25.5	2235	2233	2.56228	2.56228	0.14	0	0	0	0	0	1001.22	6.03949
26.5	4827	4824	1.20856	1.20856	0.00666667	0	0	0	0	0	642.747	13.0473
27.5	2644	2643	1.76533	1.76533	0.08	0	0	0	0	0	755.04	7.1484
28.5	5670	5670	3.08318	3.08318	0.0333333	0	0	0	0	0	1889.24	15.3354
29.5	3229	3226	3.65557	3.65557	0.0133333	0	0	0	0	0	1264.23	8.72522
30.5	7063	7061	4.71838	4.71838	0.00666667	0	0	0	0	0	2275.68	19.0976
31.5	3920	3920	6.63289	6.63289	0.00666667	0	0	0	0	0	2586.28	10.6022
32.5	8450	8450	6.89873	6.89873	0.00666667	0	0	0	0	0	6217.87	22.8543
33.5	4665	4663	8.98986	8.98986	0.0133333	0	0	0	0	0	1985.87	12.6118
34.5	9738	9735	19.5189	19.5189	0.00666667	0	0	0	0	0	53358.2	26.3298
35.5	5017	5016	10.3994	10.3994	0.0266667	0	0	0	0	0	3619.59	13.5665
36.5	10320	10320	11.782	11.782	0.0133333	0	0	0	0	0	7543.66	27.912
37.5	5170	5167	11.682	11.682	0.0133333	0	0	0	0	0	9638.75	13.9749
38.5	9793	9790	14.8854	14.8854	0.0133333	0	0	0	0	0	14754.2	26.4786
39.5	4651	4651	15.2173	15.2173	0.00666667	0	0	0	0	0	5010.27	12.5793
