"","cM","bp"
"1",0,290570
"3",8.164,1755254
"4",11.469,1778776
"5",16.1,2945523
"6",21.555,3380465
"10",35.305,6529932
"11",49.305,7876029
"12",54.952,8889662
"13",63.221,9295552
"14",68.569,9489998
"15",78.285,10205566
"16",81.12,10372008
"17",82.359,10447251
"19",86.688,10649593
"21",89.872,10864540
"23",96.698,11336749
"24",99.04,11672617
"26",103.661,11678125
"28",106.436,12187649
"30",113.545,12528218
"31",116.83,12830217
"33",122.751,12976784
"34",125.158,13278122
"35",127.991,13375264
"37",135.045,14145755
"38",137.357,14392602
"39",138.626,14787144
"42",143.55,14871386
"43",145.379,15278899
"45",148.586,15394875
"46",150.32,15673077
"47",152.937,15979210
"48",157.58,16332642
"49",161.964,16659431
"50",163.921,16738248
"51",167.298,17358577
"52",168.277,17966913
"54",171.645,17975912
"55",173.569,18180566
"56",175.167,18208221
"57",177.287,18267607
"58",179.075,18444396
"59",183.81,18673469
"60",185.143,18673828
"61",186.229,18835841
"62",187.01,18853453
"63",188.278,18997225
"64",190.448,19135204
"66",194.501,19135551
"67",198.005,19705976
"68",201.018,20050066
"72",209.413,20318272
"73",213.068,21178551
