P1	P2	F1_01	F1_02	F1_03	F1_04	F1_05	F1_06	F1_07	F1_08	F1_09	F1_10	F1_11	F1_12	F1_13	F1_14	F1_15	F1_16	F1_17	F1_18	F1_19	F1_20	F1_21	F1_22	F1_23	F1_24	F1_25	F1_26	F1_27	F1_28	F1_29	F1_30	F1_31	F1_32	F1_33	F1_34	F1_35	F1_36	F1_37	F1_38	F1_39	F1_40	F1_41	F1_42	F1_43	F1_44	F1_45	F1_46	F1_47
Chr10_94016	0	6	0	5	0	0	0	5	0	0	0	6	0	0	0	6	7	5	0	0	7	6	6	0	7	0	7	7	0	0	7	0	0	5	5	7	6	0	5	3	7	7	7	8	0	0	0	0	9
Chr10_116481	1	0	6	0	0	0	0	0	0	4	0	3	0	0	0	0	2	0	3	0	0	3	2	0	1	0	0	2	2	0	1	2	2	0	0	0	2	6	5	3	0	1	3	1	3	0	1	3	1
Chr10_118608	0	14	5	7	5	6	6	8	7	8	5	3	7	4	3	6	7	7	7	5	7	4	6	3	5	7	6	7	7	3	7	5	4	6	4	8	4	4	4	4	6	7	4	5	7	6	4	7	9
Chr10_196918	0	7	4	2	6	5	4	5	2	5	6	7	4	7	6	5	3	5	5	4	5	5	6	5	3	4	3	4	3	6	3	4	7	5	5	4	3	5	6	5	5	4	3	6	4	4	6	3	1
Chr10_202478	0	7	4	0	6	5	6	0	6	6	3	0	7	5	3	0	0	0	7	6	0	0	0	4	0	8	0	0	7	4	0	5	3	0	0	0	0	5	0	0	0	0	0	0	3	7	3	6	0
Chr10_202949	0	5	0	7	0	0	0	5	0	0	0	5	0	0	0	7	6	5	0	0	7	4	3	0	7	0	6	7	0	0	8	0	0	6	5	7	7	0	4	5	6	7	6	6	0	0	0	0	7
Chr10_213270	0	8	0	6	0	0	0	6	0	0	0	6	0	0	0	7	7	6	0	0	7	6	4	0	7	0	8	7	0	0	8	0	0	8	5	9	6	0	4	7	8	6	6	6	0	0	0	0	9
Chr10_237444	0	10	7	7	6	7	2	5	3	5	7	7	5	8	8	4	4	5	7	5	6	6	7	6	5	6	4	5	8	7	4	5	6	7	4	3	4	7	9	5	6	5	6	6	8	5	8	3	3
Chr10_259789	0	1	3	0	3	2	2	0	2	2	2	0	3	5	5	0	0	0	4	3	0	0	0	4	0	1	0	0	2	3	0	3	6	0	0	0	0	2	0	0	0	0	0	0	3	1	5	2	0
Chr10_304833	0	2	0	3	0	0	0	1	0	0	0	4	0	0	0	0	1	1	0	0	2	3	2	0	0	0	1	1	0	0	1	0	0	4	1	1	3	0	4	1	0	2	2	2	0	0	0	0	0
