P1	P2	F1_01	F1_02	F1_03	F1_04	F1_05	F1_06	F1_07	F1_08	F1_09	F1_10	F1_11	F1_12	F1_13	F1_14	F1_15	F1_16	F1_17	F1_18	F1_19	F1_20	F1_21	F1_22	F1_23	F1_24	F1_25	F1_26	F1_27	F1_28	F1_29	F1_30	F1_31	F1_32	F1_33	F1_34	F1_35	F1_36	F1_37	F1_38	F1_39	F1_40	F1_41	F1_42	F1_43	F1_44	F1_45	F1_46	F1_47
Chr10_94016	15	6	13	7	8	16	12	6	12	12	8	5	11	7	9	6	8	5	13	14	5	6	5	11	5	11	8	8	16	12	6	15	6	5	6	6	8	12	3	7	8	7	5	7	14	14	8	14	9
Chr10_116481	1	4	6	2	6	6	4	5	2	3	8	3	4	12	4	4	2	6	3	6	10	4	2	9	3	4	2	2	2	9	2	2	6	4	10	3	3	3	3	2	1	2	1	4	1	4	4	3	1
Chr10_118608	15	0	5	7	8	4	7	8	7	6	3	4	5	3	2	4	7	5	5	6	6	5	5	5	6	9	8	6	6	7	7	6	3	6	6	7	6	5	1	7	5	7	6	4	5	8	3	8	8
Chr10_196918	7	0	5	3	6	5	3	5	2	3	7	6	4	8	7	5	3	5	3	3	5	5	4	6	4	2	3	4	3	6	4	3	7	4	6	4	4	4	8	5	5	3	5	4	3	4	6	3	0
Chr10_202478	14	7	4	11	5	7	7	12	7	7	4	10	5	3	3	12	16	14	7	7	10	7	11	6	12	7	14	12	6	4	13	8	3	10	12	15	11	2	6	11	7	11	13	9	4	5	3	8	17
Chr10_202946	16	12	10	15	11	11	14	11	14	10	11	8	12	8	7	14	14	11	12	12	11	11	9	10	14	14	12	14	15	8	15	13	7	11	10	15	11	9	8	11	12	13	13	11	11	12	7	15	16
Chr10_202947	16	12	10	15	11	10	12	11	14	10	9	8	12	10	6	14	14	10	8	12	12	11	10	7	14	14	13	14	15	8	14	12	6	11	10	15	11	9	7	10	12	14	12	11	11	11	7	14	15
Chr10_202948	16	12	9	13	10	11	13	12	14	10	8	8	12	9	6	13	14	10	10	12	12	11	10	9	14	14	13	14	15	8	15	13	5	12	8	14	12	8	7	11	12	14	12	11	11	11	6	13	16
Chr10_202949	16	6	9	7	10	11	13	7	13	10	10	2	12	9	6	5	6	5	8	13	5	6	7	7	7	14	7	7	15	7	7	11	4	5	4	8	5	8	3	6	5	6	5	5	10	12	6	14	7
Chr10_213270	14	7	10	7	15	12	16	7	16	12	11	6	14	9	10	9	8	7	14	16	8	7	4	12	7	16	8	6	14	12	8	12	10	6	6	8	6	16	6	5	5	6	8	6	14	14	10	16	7
Chr10_237444	9	0	5	7	8	5	5	5	2	5	7	5	5	7	8	5	4	5	5	5	6	9	6	6	6	5	6	4	6	7	3	5	7	8	6	6	7	8	7	6	6	5	6	6	6	5	7	5	3
Chr10_259789	2	1	3	5	3	4	2	5	1	3	2	10	2	1	4	6	4	6	3	2	6	6	10	2	4	4	2	4	2	4	3	1	3	8	9	2	4	4	7	7	7	4	5	7	3	2	5	1	3
Chr10_304833	2	0	4	2	6	2	3	1	2	5	6	2	5	4	5	2	2	1	6	2	1	1	2	5	3	5	1	1	3	9	2	5	10	3	4	2	1	5	1	4	1	1	0	1	5	4	7	3	0
Chr10_307802	12	0	3	6	4	5	6	6	7	6	4	3	7	4	3	5	7	4	7	5	5	3	4	2	5	6	5	3	6	3	5	6	2	5	3	4	6	1	2	9	5	5	4	3	4	6	3	5	8
Chr10_350663	5	1	9	3	8	8	3	5	3	7	7	5	6	9	11	3	2	2	5	7	3	4	1	8	4	5	2	2	4	11	1	5	10	4	5	2	2	7	4	1	3	2	4	5	6	4	11	6	0
Chr10_350752	15	0	7	9	7	7	9	6	8	7	8	7	7	4	6	8	8	8	8	7	8	7	10	7	6	8	10	9	9	6	10	8	8	6	6	9	10	8	7	8	7	7	5	3	7	10	5	9	8
Chr10_350950	1	3	4	2	6	2	3	1	3	1	6	0	2	5	8	3	0	2	1	3	3	0	0	3	0	5	1	0	1	6	0	3	5	2	2	1	0	3	0	0	1	0	0	0	4	3	3	2	0
Chr10_373014	18	0	7	8	8	9	6	9	8	7	9	9	8	8	8	9	8	10	10	9	9	9	10	8	9	9	8	10	8	8	10	10	9	10	7	8	10	7	8	9	7	10	8	9	8	10	8	8	10
Chr10_407630	0	0	2	0	1	2	2	2	2	0	2	0	2	3	1	1	2	4	1	1	1	2	1	2	0	0	1	1	2	2	0	0	2	2	1	1	1	0	1	0	1	1	1	1	2	1	1	0	0
Chr10_468720	1	1	0	0	3	2	4	1	0	0	3	0	3	0	3	1	3	0	0	2	0	1	2	1	0	1	1	1	0	3	0	1	0	2	1	0	0	0	1	0	1	1	0	1	0	2	0	1	1
Chr10_472186	10	9	0	17	10	10	10	18	0	0	9	10	10	9	9	19	9	18	0	10	18	10	10	0	6	9	18	9	0	8	9	0	0	19	20	17	10	0	8	10	19	9	10	10	0	9	0	0	9
Chr10_479175	6	4	11	5	10	10	7	5	6	8	14	5	8	15	14	6	3	4	9	7	6	5	6	10	4	8	3	4	6	10	4	9	13	5	7	3	6	14	8	4	6	4	4	7	7	9	16	9	2
Chr10_479317	0	2	0	0	2	3	2	4	1	3	0	0	3	1	0	2	3	1	3	2	2	1	1	1	0	0	4	0	0	2	2	0	1	2	0	4	2	0	0	2	0	2	0	0	2	1	0	0	1
